Set(Tea Powder)->5383
Set(Lassi)->5431
Set(Yougurt)->5502
Set(Coffee Powder)->5508
Set(Panner)->5444
Set(Butter)->5480
Set(Sugar)->5482
Set(Sweet)->5483
Set(Bread)->5484
Set(Ghee)->5509
Set(Milk)->5526
Set(Cheese)->5475
Set(Sweet, Panner)->2505
Set(Milk, Panner)->2483
Set(Tea Powder, Coffee Powder)->2451
Set(Butter, Panner)->2483
Set(Sweet, Milk)->2512
Set(Coffee Powder, Bread)->2528
Set(Sweet, Ghee)->2504
Set(Sweet, Yougurt)->2478
Set(Butter, Milk)->2491
Set(Ghee, Panner)->2523
Set(Sweet, Bread)->2539
Set(Butter, Lassi)->2500
Set(Coffee Powder, Milk)->2518
Set(Lassi, Cheese)->2483
Set(Yougurt, Coffee Powder)->2554
Set(Tea Powder, Bread)->2445
Set(Sugar, Milk)->2563
Set(Sweet, Tea Powder)->2503
Set(Lassi, Coffee Powder)->2511
Set(Sugar, Coffee Powder)->2503
Set(Sweet, Cheese)->2498
Set(Sugar, Ghee)->2516
Set(Sweet, Lassi)->2576
Set(Sugar, Lassi)->2503
Set(Butter, Ghee)->2529
Set(Yougurt, Cheese)->2531
Set(Tea Powder, Cheese)->2391
Set(Tea Powder, Ghee)->2418
Set(Yougurt, Milk)->2513
Set(Coffee Powder, Cheese)->2516
Set(Butter, Yougurt)->2528
Set(Butter, Cheese)->2484
Set(Sugar, Tea Powder)->2473
Set(Tea Powder, Panner)->2409
Set(Cheese, Bread)->2530
Set(Tea Powder, Milk)->2444
Set(Lassi, Panner)->2497
Set(Butter, Coffee Powder)->2501
Set(Cheese, Panner)->2497
Set(Tea Powder, Lassi)->2439
Set(Ghee, Coffee Powder)->2577
Set(Tea Powder, Yougurt)->2486
Set(Lassi, Bread)->2506
Set(Butter, Sweet)->2543
Set(Ghee, Cheese)->2471
Set(Sugar, Bread)->2479
Set(Yougurt, Panner)->2498
Set(Ghee, Milk)->2511
Set(Yougurt, Bread)->2507
Set(Coffee Powder, Panner)->2482
Set(Bread, Milk)->2517
Set(Lassi, Milk)->2539
Set(Sugar, Panner)->2505
Set(Ghee, Bread)->2503
Set(Sugar, Yougurt)->2529
Set(Butter, Tea Powder)->2417
Set(Cheese, Milk)->2468
Set(Butter, Bread)->2467
Set(Bread, Panner)->2550
Set(Ghee, Yougurt)->2476
Set(Yougurt, Lassi)->2465
Set(Sugar, Sweet)->2495
Set(Sugar, Cheese)->2460
Set(Sweet, Coffee Powder)->2496
Set(Ghee, Lassi)->2510
Set(Sugar, Butter)->2571
HashSet(Sweet, Tea Powder, Ghee, Yougurt, Panner)->223
HashSet(Sugar, Ghee, Yougurt, Panner, Lassi)->279
HashSet(Sweet, Yougurt, Panner, Cheese, Bread)->279
HashSet(Sugar, Tea Powder, Yougurt, Panner, Cheese)->259
HashSet(Yougurt, Milk, Lassi, Cheese, Bread)->270
HashSet(Sugar, Butter, Yougurt, Lassi, Coffee Powder)->279
HashSet(Sugar, Tea Powder, Panner, Lassi, Cheese)->245
HashSet(Sugar, Tea Powder, Yougurt, Milk, Panner)->257
HashSet(Sugar, Tea Powder, Ghee, Milk, Panner)->259
HashSet(Sugar, Sweet, Yougurt, Panner, Coffee Powder)->263
HashSet(Butter, Tea Powder, Lassi, Coffee Powder, Cheese)->235
HashSet(Sugar, Butter, Tea Powder, Yougurt, Bread)->272
HashSet(Butter, Sweet, Tea Powder, Panner, Lassi)->285
HashSet(Butter, Sweet, Yougurt, Milk, Panner)->265
HashSet(Sugar, Sweet, Yougurt, Panner, Bread)->266
HashSet(Butter, Tea Powder, Ghee, Lassi, Coffee Powder)->262
HashSet(Sugar, Sweet, Tea Powder, Panner, Lassi)->291
HashSet(Sugar, Tea Powder, Ghee, Milk, Cheese)->249
HashSet(Butter, Sweet, Lassi, Milk, Panner)->294
HashSet(Sugar, Cheese, Bread, Milk, Panner)->278
HashSet(Sugar, Butter, Sweet, Panner, Lassi)->304
HashSet(Tea Powder, Milk, Lassi, Coffee Powder, Bread)->255
HashSet(Sugar, Sweet, Yougurt, Lassi, Bread)->268
HashSet(Sweet, Ghee, Milk, Coffee Powder, Bread)->265
HashSet(Butter, Ghee, Lassi, Coffee Powder, Bread)->265
HashSet(Sugar, Butter, Tea Powder, Coffee Powder, Bread)->273
HashSet(Sweet, Ghee, Lassi, Cheese, Bread)->269
HashSet(Butter, Tea Powder, Ghee, Panner, Coffee Powder)->272
HashSet(Sweet, Yougurt, Panner, Lassi, Cheese)->299
HashSet(Ghee, Panner, Lassi, Coffee Powder, Bread)->302
HashSet(Butter, Ghee, Milk, Coffee Powder, Bread)->244
HashSet(Tea Powder, Ghee, Lassi, Milk, Panner)->276
HashSet(Butter, Ghee, Yougurt, Cheese, Bread)->258
HashSet(Butter, Ghee, Panner, Cheese, Bread)->254
HashSet(Sugar, Butter, Yougurt, Panner, Cheese)->266
HashSet(Sugar, Yougurt, Lassi, Coffee Powder, Cheese)->259
HashSet(Sweet, Tea Powder, Panner, Coffee Powder, Bread)->259
HashSet(Sugar, Sweet, Ghee, Milk, Lassi)->269
HashSet(Sugar, Ghee, Lassi, Cheese, Bread)->262
HashSet(Sugar, Butter, Yougurt, Milk, Coffee Powder)->295
HashSet(Butter, Sweet, Panner, Coffee Powder, Cheese)->257
HashSet(Sugar, Tea Powder, Ghee, Lassi, Bread)->267
HashSet(Sugar, Coffee Powder, Cheese, Milk, Panner)->276
HashSet(Sugar, Sweet, Tea Powder, Yougurt, Milk)->272
HashSet(Butter, Yougurt, Panner, Coffee Powder, Cheese)->263
HashSet(Sweet, Tea Powder, Ghee, Milk, Panner)->247
HashSet(Sugar, Butter, Sweet, Milk, Bread)->283
HashSet(Tea Powder, Ghee, Bread, Milk, Panner)->256
HashSet(Butter, Ghee, Lassi, Cheese, Bread)->242
HashSet(Butter, Sweet, Ghee, Yougurt, Coffee Powder)->261
HashSet(Butter, Yougurt, Coffee Powder, Cheese, Bread)->253
HashSet(Butter, Ghee, Bread, Milk, Panner)->260
HashSet(Butter, Tea Powder, Yougurt, Milk, Panner)->244
HashSet(Butter, Yougurt, Lassi, Coffee Powder, Cheese)->259
HashSet(Sugar, Milk, Lassi, Cheese, Bread)->262
HashSet(Sugar, Butter, Sweet, Lassi, Bread)->287
HashSet(Sugar, Sweet, Lassi, Milk, Panner)->295
HashSet(Sugar, Sweet, Tea Powder, Ghee, Lassi)->265
HashSet(Sweet, Panner, Lassi, Cheese, Bread)->281
HashSet(Sugar, Tea Powder, Ghee, Yougurt, Bread)->261
HashSet(Butter, Yougurt, Milk, Coffee Powder, Cheese)->270
HashSet(Tea Powder, Ghee, Milk, Lassi, Bread)->267
HashSet(Butter, Tea Powder, Ghee, Milk, Bread)->256
HashSet(Ghee, Milk, Coffee Powder, Cheese, Bread)->274
HashSet(Sweet, Tea Powder, Ghee, Cheese, Bread)->232
HashSet(Butter, Ghee, Yougurt, Milk, Bread)->256
HashSet(Butter, Ghee, Yougurt, Lassi, Cheese)->249
HashSet(Sweet, Tea Powder, Panner, Lassi, Coffee Powder)->300
HashSet(Butter, Tea Powder, Ghee, Coffee Powder, Cheese)->246
HashSet(Butter, Ghee, Milk, Lassi, Bread)->271
HashSet(Butter, Sweet, Milk, Lassi, Bread)->278
HashSet(Butter, Ghee, Coffee Powder, Milk, Panner)->250
HashSet(Sugar, Butter, Sweet, Yougurt, Cheese)->257
HashSet(Sweet, Ghee, Milk, Coffee Powder, Cheese)->248
HashSet(Butter, Sweet, Yougurt, Lassi, Coffee Powder)->282
HashSet(Sugar, Lassi, Cheese, Milk, Panner)->261
HashSet(Tea Powder, Ghee, Panner, Coffee Powder, Cheese)->235
HashSet(Tea Powder, Milk, Lassi, Cheese, Bread)->231
HashSet(Sugar, Butter, Sweet, Ghee, Coffee Powder)->270
HashSet(Sugar, Tea Powder, Ghee, Milk, Bread)->257
HashSet(Sugar, Butter, Ghee, Lassi, Cheese)->250
HashSet(Butter, Sweet, Yougurt, Cheese, Bread)->246
HashSet(Butter, Sweet, Tea Powder, Milk, Coffee Powder)->266
HashSet(Butter, Sweet, Lassi, Cheese, Bread)->241
HashSet(Sugar, Ghee, Yougurt, Panner, Cheese)->270
HashSet(Butter, Sweet, Panner, Coffee Powder, Bread)->248
HashSet(Butter, Ghee, Panner, Coffee Powder, Cheese)->255
HashSet(Butter, Sweet, Yougurt, Panner, Lassi)->282
HashSet(Tea Powder, Yougurt, Cheese, Milk, Panner)->245
HashSet(Butter, Sweet, Tea Powder, Yougurt, Milk)->246
HashSet(Butter, Tea Powder, Coffee Powder, Milk, Panner)->220
HashSet(Butter, Tea Powder, Milk, Lassi, Coffee Powder)->260
HashSet(Sugar, Butter, Tea Powder, Milk, Bread)->260
HashSet(Sugar, Butter, Tea Powder, Panner, Cheese)->248
HashSet(Butter, Ghee, Yougurt, Milk, Lassi)->259
HashSet(Sugar, Sweet, Milk, Cheese, Bread)->264
HashSet(Sugar, Butter, Panner, Lassi, Bread)->278
HashSet(Butter, Yougurt, Bread, Milk, Panner)->263
HashSet(Sweet, Milk, Coffee Powder, Cheese, Bread)->265
HashSet(Sugar, Butter, Sweet, Milk, Coffee Powder)->291
HashSet(Butter, Yougurt, Milk, Coffee Powder, Bread)->277
HashSet(Tea Powder, Milk, Coffee Powder, Cheese, Bread)->237
HashSet(Sugar, Yougurt, Coffee Powder, Milk, Panner)->273
HashSet(Sugar, Sweet, Ghee, Yougurt, Milk)->258
HashSet(Butter, Tea Powder, Panner, Lassi, Bread)->250
HashSet(Butter, Sweet, Ghee, Panner, Cheese)->244
HashSet(Sugar, Butter, Cheese, Milk, Panner)->255
HashSet(Sugar, Sweet, Ghee, Panner, Bread)->271
HashSet(Sugar, Sweet, Yougurt, Coffee Powder, Bread)->263
HashSet(Sugar, Butter, Ghee, Yougurt, Bread)->265
HashSet(Sugar, Sweet, Ghee, Panner, Cheese)->239
HashSet(Sugar, Ghee, Bread, Milk, Panner)->276
HashSet(Sweet, Tea Powder, Yougurt, Milk, Lassi)->255
HashSet(Sugar, Tea Powder, Yougurt, Lassi, Cheese)->246
HashSet(Yougurt, Lassi, Bread, Milk, Panner)->263
HashSet(Sugar, Sweet, Tea Powder, Milk, Cheese)->264
HashSet(Butter, Milk, Lassi, Cheese, Bread)->255
HashSet(Butter, Yougurt, Lassi, Milk, Panner)->272
HashSet(Sugar, Butter, Sweet, Milk, Lassi)->300
HashSet(Sweet, Tea Powder, Yougurt, Lassi, Coffee Powder)->261
HashSet(Sugar, Butter, Tea Powder, Lassi, Coffee Powder)->266
HashSet(Sugar, Butter, Sweet, Milk, Cheese)->262
HashSet(Butter, Yougurt, Panner, Lassi, Cheese)->265
HashSet(Sugar, Tea Powder, Ghee, Panner, Coffee Powder)->265
HashSet(Sweet, Yougurt, Panner, Coffee Powder, Cheese)->273
HashSet(Yougurt, Milk, Lassi, Coffee Powder, Bread)->270
HashSet(Sweet, Lassi, Bread, Milk, Panner)->300
HashSet(Sweet, Tea Powder, Ghee, Lassi, Cheese)->242
HashSet(Sweet, Ghee, Panner, Coffee Powder, Bread)->277
HashSet(Tea Powder, Cheese, Bread, Milk, Panner)->253
HashSet(Sugar, Tea Powder, Yougurt, Milk, Bread)->275
HashSet(Tea Powder, Yougurt, Panner, Lassi, Bread)->247
HashSet(Butter, Yougurt, Panner, Cheese, Bread)->271
HashSet(Sweet, Ghee, Panner, Lassi, Cheese)->276
HashSet(Sugar, Butter, Tea Powder, Ghee, Milk)->272
HashSet(Sugar, Sweet, Tea Powder, Yougurt, Panner)->246
HashSet(Ghee, Yougurt, Lassi, Coffee Powder, Cheese)->279
HashSet(Butter, Sweet, Ghee, Yougurt, Panner)->273
HashSet(Sugar, Sweet, Panner, Lassi, Coffee Powder)->292
HashSet(Sugar, Tea Powder, Ghee, Yougurt, Cheese)->251
HashSet(Sweet, Tea Powder, Ghee, Panner, Lassi)->293
HashSet(Butter, Sweet, Ghee, Yougurt, Cheese)->248
HashSet(Sugar, Ghee, Yougurt, Coffee Powder, Cheese)->259
HashSet(Tea Powder, Yougurt, Panner, Coffee Powder, Cheese)->251
HashSet(Sugar, Yougurt, Panner, Lassi, Cheese)->271
HashSet(Butter, Sweet, Tea Powder, Lassi, Cheese)->253
HashSet(Sugar, Yougurt, Milk, Cheese, Bread)->275
HashSet(Sugar, Tea Powder, Bread, Milk, Panner)->267
HashSet(Sugar, Ghee, Yougurt, Lassi, Bread)->261
HashSet(Butter, Sweet, Tea Powder, Panner, Coffee Powder)->246
HashSet(Sugar, Butter, Tea Powder, Yougurt, Cheese)->248
HashSet(Sweet, Yougurt, Cheese, Milk, Panner)->277
HashSet(Tea Powder, Ghee, Panner, Coffee Powder, Bread)->257
HashSet(Butter, Sweet, Yougurt, Lassi, Cheese)->273
HashSet(Sugar, Sweet, Panner, Coffee Powder, Bread)->268
HashSet(Tea Powder, Ghee, Coffee Powder, Cheese, Bread)->251
HashSet(Sugar, Sweet, Ghee, Milk, Cheese)->241
HashSet(Sweet, Ghee, Milk, Lassi, Coffee Powder)->272
HashSet(Ghee, Coffee Powder, Cheese, Milk, Panner)->266
HashSet(Sweet, Ghee, Yougurt, Milk, Panner)->245
HashSet(Sugar, Sweet, Lassi, Cheese, Bread)->263
HashSet(Sweet, Ghee, Panner, Lassi, Bread)->293
HashSet(Butter, Lassi, Coffee Powder, Cheese, Bread)->262
HashSet(Sugar, Sweet, Yougurt, Milk, Cheese)->266
HashSet(Butter, Yougurt, Panner, Coffee Powder, Bread)->264
HashSet(Sugar, Butter, Sweet, Tea Powder, Ghee)->257
HashSet(Sweet, Yougurt, Milk, Lassi, Cheese)->267
HashSet(Sugar, Tea Powder, Ghee, Coffee Powder, Cheese)->228
HashSet(Butter, Sweet, Tea Powder, Cheese, Bread)->230
HashSet(Sweet, Tea Powder, Milk, Lassi, Coffee Powder)->266
HashSet(Sugar, Butter, Sweet, Yougurt, Milk)->280
HashSet(Sugar, Butter, Sweet, Ghee, Bread)->260
HashSet(Sugar, Tea Powder, Panner, Cheese, Bread)->259
HashSet(Sugar, Sweet, Tea Powder, Coffee Powder, Bread)->263
HashSet(Tea Powder, Yougurt, Lassi, Coffee Powder, Cheese)->246
HashSet(Sugar, Butter, Ghee, Yougurt, Panner)->285
HashSet(Sweet, Ghee, Yougurt, Milk, Bread)->259
HashSet(Butter, Ghee, Yougurt, Milk, Coffee Powder)->278
HashSet(Sugar, Tea Powder, Ghee, Milk, Coffee Powder)->270
HashSet(Sweet, Ghee, Yougurt, Panner, Bread)->257
HashSet(Sugar, Butter, Ghee, Milk, Coffee Powder)->272
HashSet(Sugar, Ghee, Milk, Coffee Powder, Cheese)->252
HashSet(Sugar, Sweet, Milk, Lassi, Coffee Powder)->280
HashSet(Sugar, Yougurt, Milk, Lassi, Coffee Powder)->276
HashSet(Sugar, Butter, Ghee, Panner, Bread)->273
HashSet(Butter, Ghee, Panner, Coffee Powder, Bread)->256
HashSet(Ghee, Yougurt, Cheese, Milk, Panner)->269
HashSet(Yougurt, Panner, Lassi, Coffee Powder, Cheese)->276
HashSet(Sugar, Ghee, Lassi, Coffee Powder, Bread)->280
HashSet(Sugar, Sweet, Ghee, Milk, Coffee Powder)->258
HashSet(Butter, Tea Powder, Yougurt, Milk, Cheese)->233
HashSet(Sweet, Ghee, Yougurt, Coffee Powder, Cheese)->253
HashSet(Sugar, Panner, Lassi, Coffee Powder, Bread)->295
HashSet(Sweet, Tea Powder, Ghee, Coffee Powder, Bread)->245
HashSet(Butter, Sweet, Tea Powder, Coffee Powder, Cheese)->248
HashSet(Sugar, Ghee, Panner, Cheese, Bread)->269
HashSet(Sweet, Tea Powder, Yougurt, Milk, Coffee Powder)->268
HashSet(Butter, Yougurt, Panner, Lassi, Coffee Powder)->274
HashSet(Sugar, Butter, Tea Powder, Lassi, Bread)->243
HashSet(Ghee, Milk, Lassi, Coffee Powder, Cheese)->272
HashSet(Sugar, Sweet, Coffee Powder, Cheese, Bread)->246
HashSet(Butter, Sweet, Tea Powder, Ghee, Coffee Powder)->242
HashSet(Butter, Yougurt, Milk, Lassi, Coffee Powder)->285
HashSet(Sweet, Yougurt, Bread, Milk, Panner)->269
HashSet(Sugar, Tea Powder, Lassi, Cheese, Bread)->235
HashSet(Sugar, Butter, Sweet, Ghee, Milk)->275
HashSet(Butter, Tea Powder, Milk, Lassi, Cheese)->225
HashSet(Yougurt, Panner, Coffee Powder, Cheese, Bread)->269
HashSet(Butter, Tea Powder, Lassi, Milk, Panner)->245
HashSet(Butter, Sweet, Ghee, Coffee Powder, Cheese)->214
HashSet(Sugar, Butter, Tea Powder, Milk, Cheese)->247
HashSet(Sugar, Sweet, Ghee, Lassi, Cheese)->243
HashSet(Sugar, Butter, Ghee, Yougurt, Cheese)->254
HashSet(Tea Powder, Ghee, Yougurt, Lassi, Bread)->256
HashSet(Sugar, Butter, Yougurt, Cheese, Bread)->263
HashSet(Tea Powder, Lassi, Cheese, Milk, Panner)->231
HashSet(Sugar, Sweet, Milk, Lassi, Bread)->280
HashSet(Tea Powder, Ghee, Panner, Lassi, Coffee Powder)->272
HashSet(Sugar, Sweet, Tea Powder, Yougurt, Lassi)->252
HashSet(Butter, Tea Powder, Milk, Coffee Powder, Cheese)->236
HashSet(Sugar, Tea Powder, Ghee, Lassi, Cheese)->241
HashSet(Butter, Tea Powder, Panner, Coffee Powder, Bread)->239
HashSet(Butter, Ghee, Coffee Powder, Cheese, Bread)->245
HashSet(Butter, Sweet, Ghee, Cheese, Bread)->220
HashSet(Sugar, Sweet, Ghee, Yougurt, Bread)->244
HashSet(Tea Powder, Yougurt, Milk, Lassi, Bread)->252
HashSet(Sugar, Ghee, Cheese, Milk, Panner)->249
HashSet(Sugar, Sweet, Tea Powder, Milk, Bread)->266
HashSet(Butter, Milk, Coffee Powder, Cheese, Bread)->263
HashSet(Butter, Tea Powder, Coffee Powder, Cheese, Bread)->236
HashSet(Sugar, Tea Powder, Cheese, Milk, Panner)->249
HashSet(Sweet, Tea Powder, Ghee, Panner, Bread)->249
HashSet(Sweet, Milk, Lassi, Coffee Powder, Cheese)->265
HashSet(Sweet, Tea Powder, Ghee, Milk, Lassi)->282
HashSet(Butter, Sweet, Lassi, Coffee Powder, Cheese)->257
HashSet(Butter, Sweet, Yougurt, Lassi, Bread)->251
HashSet(Sugar, Tea Powder, Coffee Powder, Cheese, Bread)->252
HashSet(Sugar, Butter, Milk, Lassi, Coffee Powder)->293
HashSet(Butter, Tea Powder, Ghee, Yougurt, Bread)->266
HashSet(Sugar, Sweet, Milk, Lassi, Cheese)->261
HashSet(Ghee, Yougurt, Milk, Lassi, Bread)->264
HashSet(Sweet, Ghee, Yougurt, Cheese, Bread)->247
HashSet(Sugar, Yougurt, Panner, Lassi, Bread)->259
HashSet(Sugar, Sweet, Panner, Lassi, Cheese)->272
HashSet(Sugar, Tea Powder, Ghee, Panner, Cheese)->239
HashSet(Sugar, Butter, Panner, Cheese, Bread)->261
HashSet(Butter, Sweet, Ghee, Lassi, Cheese)->238
HashSet(Sugar, Butter, Sweet, Panner, Coffee Powder)->263
HashSet(Sugar, Sweet, Ghee, Coffee Powder, Bread)->264
HashSet(Sugar, Sweet, Ghee, Yougurt, Coffee Powder)->255
HashSet(Sugar, Ghee, Lassi, Coffee Powder, Cheese)->250
HashSet(Sugar, Sweet, Ghee, Lassi, Bread)->276
HashSet(Butter, Sweet, Tea Powder, Ghee, Bread)->239
HashSet(Butter, Sweet, Tea Powder, Lassi, Coffee Powder)->259
HashSet(Sugar, Yougurt, Milk, Coffee Powder, Cheese)->287
HashSet(Sweet, Tea Powder, Lassi, Coffee Powder, Cheese)->254
HashSet(Butter, Tea Powder, Ghee, Yougurt, Cheese)->253
HashSet(Butter, Sweet, Ghee, Milk, Coffee Powder)->247
HashSet(Butter, Yougurt, Cheese, Milk, Panner)->266
HashSet(Sugar, Butter, Milk, Coffee Powder, Bread)->283
HashSet(Sugar, Ghee, Yougurt, Milk, Panner)->268
HashSet(Sweet, Tea Powder, Yougurt, Milk, Panner)->236
HashSet(Butter, Ghee, Lassi, Coffee Powder, Cheese)->260
HashSet(Ghee, Panner, Coffee Powder, Cheese, Bread)->283
HashSet(Sugar, Sweet, Tea Powder, Yougurt, Bread)->253
HashSet(Sugar, Sweet, Tea Powder, Yougurt, Cheese)->258
HashSet(Butter, Ghee, Yougurt, Milk, Panner)->277
HashSet(Butter, Sweet, Ghee, Lassi, Bread)->257
HashSet(Butter, Sweet, Yougurt, Panner, Bread)->274
HashSet(Butter, Sweet, Milk, Cheese, Bread)->250
HashSet(Butter, Sweet, Ghee, Lassi, Coffee Powder)->265
HashSet(Sweet, Yougurt, Panner, Lassi, Bread)->270
HashSet(Milk, Lassi, Coffee Powder, Cheese, Bread)->277
HashSet(Butter, Ghee, Yougurt, Panner, Bread)->269
HashSet(Sugar, Ghee, Yougurt, Milk, Coffee Powder)->281
HashSet(Sugar, Sweet, Yougurt, Lassi, Coffee Powder)->275
HashSet(Butter, Yougurt, Milk, Cheese, Bread)->267
HashSet(Butter, Yougurt, Lassi, Coffee Powder, Bread)->261
HashSet(Sweet, Ghee, Milk, Lassi, Cheese)->254
HashSet(Sugar, Sweet, Ghee, Lassi, Coffee Powder)->270
HashSet(Sugar, Yougurt, Panner, Cheese, Bread)->263
HashSet(Tea Powder, Ghee, Panner, Lassi, Cheese)->246
HashSet(Butter, Ghee, Yougurt, Coffee Powder, Cheese)->267
HashSet(Sugar, Ghee, Panner, Lassi, Bread)->295
HashSet(Butter, Tea Powder, Ghee, Yougurt, Coffee Powder)->283
HashSet(Sugar, Butter, Yougurt, Lassi, Cheese)->261
HashSet(Butter, Tea Powder, Yougurt, Milk, Bread)->260
HashSet(Butter, Tea Powder, Ghee, Panner, Lassi)->281
HashSet(Butter, Sweet, Tea Powder, Ghee, Cheese)->219
HashSet(Tea Powder, Ghee, Yougurt, Milk, Coffee Powder)->271
HashSet(Sugar, Ghee, Panner, Coffee Powder, Bread)->280
HashSet(Butter, Tea Powder, Lassi, Coffee Powder, Bread)->251
HashSet(Sugar, Butter, Sweet, Coffee Powder, Bread)->275
HashSet(Butter, Tea Powder, Ghee, Lassi, Cheese)->231
HashSet(Sweet, Ghee, Lassi, Milk, Panner)->288
HashSet(Sugar, Tea Powder, Panner, Lassi, Bread)->259
HashSet(Sweet, Yougurt, Panner, Coffee Powder, Bread)->286
HashSet(Sugar, Butter, Ghee, Coffee Powder, Cheese)->234
HashSet(Sugar, Ghee, Yougurt, Lassi, Coffee Powder)->267
HashSet(Sugar, Tea Powder, Ghee, Lassi, Coffee Powder)->277
HashSet(Tea Powder, Lassi, Bread, Milk, Panner)->271
HashSet(Tea Powder, Ghee, Yougurt, Milk, Cheese)->247
HashSet(Sugar, Tea Powder, Coffee Powder, Milk, Panner)->263
HashSet(Ghee, Yougurt, Lassi, Milk, Panner)->269
HashSet(Sugar, Tea Powder, Ghee, Milk, Lassi)->290
HashSet(Sugar, Butter, Sweet, Ghee, Cheese)->222
HashSet(Sugar, Butter, Tea Powder, Cheese, Bread)->243
HashSet(Sugar, Butter, Sweet, Lassi, Coffee Powder)->290
HashSet(Sugar, Butter, Coffee Powder, Cheese, Bread)->257
HashSet(Tea Powder, Ghee, Milk, Coffee Powder, Cheese)->238
HashSet(Butter, Tea Powder, Yougurt, Coffee Powder, Bread)->272
HashSet(Sweet, Tea Powder, Ghee, Milk, Bread)->257
HashSet(Sugar, Butter, Ghee, Lassi, Bread)->275
HashSet(Sweet, Tea Powder, Ghee, Panner, Coffee Powder)->243
HashSet(Ghee, Yougurt, Milk, Coffee Powder, Cheese)->289
HashSet(Sugar, Butter, Lassi, Cheese, Bread)->256
HashSet(Sugar, Tea Powder, Lassi, Milk, Panner)->274
HashSet(Butter, Sweet, Tea Powder, Yougurt, Panner)->257
HashSet(Sugar, Sweet, Milk, Coffee Powder, Cheese)->261
HashSet(Butter, Sweet, Yougurt, Milk, Lassi)->280
HashSet(Butter, Tea Powder, Yougurt, Milk, Coffee Powder)->269
HashSet(Sugar, Butter, Yougurt, Coffee Powder, Cheese)->265
HashSet(Tea Powder, Ghee, Yougurt, Panner, Bread)->254
HashSet(Sugar, Butter, Ghee, Milk, Lassi)->288
HashSet(Sugar, Tea Powder, Yougurt, Milk, Lassi)->263
HashSet(Lassi, Coffee Powder, Cheese, Milk, Panner)->268
HashSet(Sugar, Sweet, Tea Powder, Milk, Coffee Powder)->290
HashSet(Sweet, Tea Powder, Milk, Cheese, Bread)->238
HashSet(Butter, Tea Powder, Panner, Lassi, Cheese)->232
HashSet(Sugar, Butter, Bread, Milk, Panner)->256
HashSet(Sweet, Yougurt, Milk, Lassi, Bread)->264
HashSet(Sugar, Ghee, Milk, Lassi, Coffee Powder)->281
HashSet(Sugar, Yougurt, Lassi, Coffee Powder, Bread)->241
HashSet(Sugar, Butter, Tea Powder, Milk, Lassi)->273
HashSet(Tea Powder, Yougurt, Milk, Coffee Powder, Cheese)->256
HashSet(Sugar, Butter, Lassi, Coffee Powder, Cheese)->249
HashSet(Butter, Sweet, Panner, Lassi, Bread)->270
HashSet(Sugar, Butter, Sweet, Tea Powder, Bread)->264
HashSet(Butter, Tea Powder, Ghee, Yougurt, Milk)->249
HashSet(Ghee, Lassi, Bread, Milk, Panner)->288
HashSet(Sweet, Tea Powder, Panner, Lassi, Bread)->296
HashSet(Ghee, Lassi, Coffee Powder, Milk, Panner)->281
HashSet(Sugar, Tea Powder, Panner, Lassi, Coffee Powder)->276
HashSet(Butter, Lassi, Bread, Milk, Panner)->269
HashSet(Sugar, Butter, Sweet, Coffee Powder, Cheese)->254
HashSet(Sugar, Ghee, Panner, Lassi, Coffee Powder)->274
HashSet(Sugar, Butter, Tea Powder, Yougurt, Milk)->261
HashSet(Sweet, Tea Powder, Yougurt, Panner, Bread)->262
HashSet(Sweet, Tea Powder, Ghee, Milk, Cheese)->229
HashSet(Butter, Sweet, Tea Powder, Panner, Bread)->254
HashSet(Yougurt, Milk, Coffee Powder, Cheese, Bread)->282
HashSet(Ghee, Yougurt, Milk, Cheese, Bread)->272
HashSet(Sugar, Tea Powder, Panner, Coffee Powder, Cheese)->248
HashSet(Tea Powder, Ghee, Yougurt, Lassi, Cheese)->233
HashSet(Butter, Ghee, Panner, Lassi, Cheese)->262
HashSet(Butter, Sweet, Coffee Powder, Cheese, Bread)->233
HashSet(Sweet, Ghee, Yougurt, Milk, Coffee Powder)->266
HashSet(Sweet, Tea Powder, Yougurt, Lassi, Bread)->256
HashSet(Sugar, Milk, Lassi, Coffee Powder, Cheese)->265
HashSet(Butter, Panner, Coffee Powder, Cheese, Bread)->258
HashSet(Butter, Sweet, Ghee, Milk, Panner)->253
HashSet(Butter, Coffee Powder, Bread, Milk, Panner)->247
HashSet(Tea Powder, Ghee, Lassi, Cheese, Bread)->241
HashSet(Butter, Tea Powder, Yougurt, Lassi, Bread)->238
HashSet(Sugar, Butter, Yougurt, Panner, Bread)->265
HashSet(Butter, Milk, Lassi, Coffee Powder, Cheese)->268
HashSet(Sugar, Sweet, Tea Powder, Lassi, Coffee Powder)->291
HashSet(Sweet, Tea Powder, Yougurt, Panner, Coffee Powder)->251
HashSet(Ghee, Milk, Lassi, Cheese, Bread)->272
HashSet(Sugar, Milk, Lassi, Coffee Powder, Bread)->273
HashSet(Sugar, Sweet, Ghee, Panner, Coffee Powder)->243
HashSet(Sugar, Sweet, Yougurt, Lassi, Cheese)->264
HashSet(Tea Powder, Ghee, Milk, Lassi, Coffee Powder)->269
HashSet(Sugar, Lassi, Coffee Powder, Cheese, Bread)->261
HashSet(Sugar, Butter, Tea Powder, Milk, Panner)->233
HashSet(Sugar, Butter, Yougurt, Milk, Lassi)->282
